message,report_time,disaster_category,information_type,report_classification,timestamp
9AAC8884E3009324000009C60539619DC0000100000000010000001065F294C,2024-01-01T07:06:00.000Z,緊急地震速報,発表,最優先,2024-01-01T16:06:23+09:00
53AD1884E380004E3444000000000000000000000000000000000013B608D48,2024-01-01T07:07:00.000Z,震度,発表,優先,2024-01-01T16:08:19+09:00
9AAD1084E400035C000009C6053961895E011290000000000000001237A450C,2024-01-01T07:08:00.000Z,震源,発表,優先,2024-01-01T16:08:59+09:00
53AD1084E500035DE20009C6053961895E011290000000000000001313C1D78,2024-01-01T07:10:00.000Z,震源,発表,優先,2024-01-01T16:10:19+09:00
C6AC8884E5009324000009CA0537619DC00001000000000100000013AF001D8,2024-01-01T07:10:00.000Z,緊急地震速報,発表,最優先,2024-01-01T16:10:27+09:00
C6AD1884E500004E34440000000000000000000000000000000000107E32B60,2024-01-01T07:10:00.000Z,震度,発表,優先,2024-01-01T16:10:39+09:00
C6AC8884E500DB24000009CA054261AA8002073000000009C00000111913DE4,2024-01-01T07:10:00.000Z,緊急地震速報,発表,最優先,2024-01-01T16:10:51+09:00
C6AC8884E5812324000009CA054A7BEA80BF87FF30000019E0000012B77BE2C,2024-01-01T07:11:00.000Z,緊急地震速報,発表,最優先,2024-01-01T16:11:15+09:00
9AAD1884E580004E564620CF4A0000000000000000000000000000117E234D8,2024-01-01T07:11:00.000Z,震度,発表,優先,2024-01-01T16:11:59+09:00
53AD1884E580004E56469F1089351AA8745000000000000000000012BFE74D4,2024-01-01T07:11:00.000Z,震度,発表,優先,2024-01-01T16:12:19+09:00
C6AD1884E600004E56469F1089351AA8643A2514974C264000000013C53A204,2024-01-01T07:12:00.000Z,震度,発表,優先,2024-01-01T16:12:39+09:00
C6ACA884E60001E8F67C320035A5FFCD547FF3555FFCD5E7FF35A0115F70CF0,2024-01-01T07:12:00.000Z,津波,発表,最優先,2024-01-01T16:13:03+09:00
C6AD1884E680004E56469F1089351AA9A4CA612E89452710E864581396278D8,2024-01-01T07:13:00.000Z,震度,発表,優先,2024-01-01T16:13:39+09:00
9AAD1884E680004E56469F1089351AA9C4DA6932984BA29169D44810E099910,2024-01-01T07:13:00.000Z,震度,発表,優先,2024-01-01T16:13:59+09:00
53AD1884E680004E52210E864B27C000000000000000000000000012061ADCC,2024-01-01T07:13:00.000Z,震度,発表,優先,2024-01-01T16:14:19+09:00
9AAD1884E700004E56469F1089351AA9C4DA6932984BA29169D448108B3B4F0,2024-01-01T07:14:00.000Z,震度,発表,優先,2024-01-01T16:14:59+09:00
53AD1884E700004E52210E864B27C000000000000000000000000011C394B78,2024-01-01T07:14:00.000Z,震度,発表,優先,2024-01-01T16:15:19+09:00
C6AD1884E700004E57469F1089351AA9C4DA6932984BA29169D448131BC7928,2024-01-01T07:14:00.000Z,震度,発表,優先,2024-01-01T16:15:39+09:00
9AAD1084E800034DE20009CA004A61895E01126000000000000000102ABCAC0,2024-01-01T07:16:00.000Z,震源,発表,優先,2024-01-01T16:16:59+09:00
53AD1884E800004E57469F1089351AA9C4DA6932984BA29169D448117F973B4,2024-01-01T07:16:00.000Z,震度,発表,優先,2024-01-01T16:17:19+09:00
C6AD1884E800004E52210E864B27C000000000000000000000000012833DA60,2024-01-01T07:16:00.000Z,震度,発表,優先,2024-01-01T16:17:39+09:00
C6AC8884E9009324000009D20A3A7BD9800003000000000100000013FE625F4,2024-01-01T07:18:00.000Z,緊急地震速報,発表,最優先,2024-01-01T16:19:03+09:00
53ACA884EB0001E4F47B57FF45A00000000000000000000000000011B37F2B4,2024-01-01T07:22:00.000Z,津波,発表,最優先,2024-01-01T16:22:43+09:00
9AACA884EB0001E4F47B31E833C07C8D6920035C8800E087FF355011DDFED1C,2024-01-01T07:22:00.000Z,津波,発表,最優先,2024-01-01T16:22:47+09:00
C6ACA884EB0001E4F47B37FF3555FFCD5E000000000000000000001222AAC00,2024-01-01T07:22:00.000Z,津波,発表,最優先,2024-01-01T16:22:51+09:00
53AD1084EB80034DE20009D2053D61894C0111B00000000000000013F92C790,2024-01-01T07:23:00.000Z,震源,発表,優先,2024-01-01T16:23:19+09:00
C6AD1884EB80004E94452000000000000000000000000000000000113633778,2024-01-01T07:23:00.000Z,震度,発表,優先,2024-01-01T16:23:39+09:00
9AAD1084EC00034DE30009CA004C61895E01126000000000000000121A94848,2024-01-01T07:24:00.000Z,震源,発表,優先,2024-01-01T16:24:59+09:00
53AD1884EC00004E57469F1089351AA9C4DA6932984BA29169D4481347FC9D4,2024-01-01T07:24:00.000Z,震度,発表,優先,2024-01-01T16:25:19+09:00
C6AD1884EC00004E52210E864B27C000000000000000000000000010BB56000,2024-01-01T07:24:00.000Z,震度,発表,優先,2024-01-01T16:25:39+09:00
C6AD1084F080034C000009DD052E7BC96401129000000000000000129818C54,2024-01-01T07:33:00.000Z,震源,発表,優先,2024-01-01T16:33:39+09:00
9AAD1884F080004EEA44000000000000000000000000000000000013E26D83C,2024-01-01T07:33:00.000Z,震度,発表,優先,2024-01-01T16:33:59+09:00
9AAC8884F4004B24000009E70A377BD9800001000000000100000010B32C67C,2024-01-01T07:40:00.000Z,緊急地震速報,発表,最優先,2024-01-01T16:40:35+09:00
9AAD1884F480004F3A44000000000000000000000000000000000011C18A480,2024-01-01T07:41:00.000Z,震度,発表,優先,2024-01-01T16:41:59+09:00
53AD1884F500004F3A44000000000000000000000000000000000012DA251F4,2024-01-01T07:42:00.000Z,震度,発表,優先,2024-01-01T16:43:19+09:00
C6AD1084F580034DE20009E705345EC95E0112F000000000000000102A3680C,2024-01-01T07:43:00.000Z,震源,発表,優先,2024-01-01T16:43:39+09:00
9AAD1884F580004F3A440000000000000000000000000000000000114F90A18,2024-01-01T07:43:00.000Z,震度,発表,優先,2024-01-01T16:43:59+09:00
C6AD1084F680034C000009EA0034618958011260000000000000001349458B8,2024-01-01T07:45:00.000Z,震源,発表,優先,2024-01-01T16:46:39+09:00
9AAD1884F680004F5244000000000000000000000000000000000010976542C,2024-01-01T07:45:00.000Z,震度,発表,優先,2024-01-01T16:46:59+09:00
C6AD1084F980034C000009F005326189520111B000000000000000123485590,2024-01-01T07:51:00.000Z,震源,発表,優先,2024-01-01T16:51:39+09:00
9AAD1884F980004F82440000000000000000000000000000000000134BA5C0C,2024-01-01T07:51:00.000Z,震度,発表,優先,2024-01-01T16:51:59+09:00
53AC8884FC000324000009F8050A7BDEC00001000000000100000012B66B310,2024-01-01T07:56:00.000Z,緊急地震速報,発表,最優先,2024-01-01T16:57:07+09:00
C6AD1884FD00004FC4452000000000000000000000000000000000105176848,2024-01-01T07:58:00.000Z,震度,発表,優先,2024-01-01T16:58:39+09:00
9AAD1884FD80004FC44520000000000000000000000000000000001147CA174,2024-01-01T07:59:00.000Z,震度,発表,優先,2024-01-01T16:59:59+09:00
53AD10850000034DE20009F80A396189520111B00000000000000012806BEE4,2024-01-01T08:00:00.000Z,震源,発表,優先,2024-01-01T17:00:19+09:00
C6AD18850000004FC445200000000000000000000000000000000013DE4CF50,2024-01-01T08:00:00.000Z,震度,発表,優先,2024-01-01T17:00:39+09:00
9AAC888501804B2400000A0205336199800001000000000100000011785DAE0,2024-01-01T08:03:00.000Z,緊急地震速報,発表,最優先,2024-01-01T17:03:11+09:00
9AAD10850280034DE2000A0205316189580112000000000000000013C74B07C,2024-01-01T08:05:00.000Z,震源,発表,優先,2024-01-01T17:05:59+09:00
C6AD18850280005012440000000000000000000000000000000000124875AA8,2024-01-01T08:05:00.000Z,震度,発表,優先,2024-01-01T17:06:39+09:00
53AC888503804B2400000A0705356199800001000000000100000011A5338C0,2024-01-01T08:07:00.000Z,緊急地震速報,発表,最優先,2024-01-01T17:07:31+09:00
53AD10850500034C00000A0705347BC94C01112000000000000000100EB6134,2024-01-01T08:10:00.000Z,震源,発表,優先,2024-01-01T17:10:19+09:00
C6AD1885050000503A440000000000000000000000000000000000114670FF0,2024-01-01T08:10:00.000Z,震度,発表,優先,2024-01-01T17:10:39+09:00
9AAD1885098000508A4400000000000000000000000000000000001069AB8F4,2024-01-01T08:19:00.000Z,震度,発表,優先,2024-01-01T17:19:59+09:00
